Location,Account_Number,Supplier,Data Type,Replaced_On,Period_Starting,Days_In_Month,Days_Of_Data,Days_Mismatch,In,Units,export_qty,export_tco2e,export_total_days,excess_share,est_excess_qty,est_excess_tco2e,is_revenue
"Wharf Road, Coromandel",9009_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,58.0,-30.0,,14357.0000,,,,0.517,,,False
PPP - NSW Schools 2 (Ashtonfield PS),7113513001_5247058378,AGL,Natural Gas [GJ],,01 Jul 2026,31.0,57.0,-26.0,,0.0000,,,,0.456,,,False
PPP - Southbank TAFE (QLD),A-0818208A_5410078053,Origin,Natural Gas [GJ],,01 Nov 2025,30.0,57.0,-27.0,,25.8810,,,,0.474,,,False
Balclutha Depot,55674_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,56.0,-28.0,,302.0000,,,,0.5,,,False
Bitumen - Taranaki,3045_Natural Gas,Downer,Natural Gas [MJ],,01 Feb 2026,28.0,56.0,-28.0,,1718400.0000,,,,0.5,,,False
Dunedin Depot (Green Island ),55660_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,56.0,-28.0,,18953.0000,,,,0.5,,,False
Engineers Camp (Lewis Pass),55614_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,56.0,-28.0,,745.2903,,,,0.5,,,False
Invercargill Depot,55670_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,56.0,-28.0,,10450.0000,,,,0.5,,,False
Lawrence (6 Irvine St),DS2675_Electricity - Purchased from grid,Meridian,Electricity [kWh],,01 Feb 2026,28.0,56.0,-28.0,,2253.7514,,,,0.5,,,False
Queenstown Depot,55680_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,56.0,-28.0,,9065.0000,,,,0.5,,,False
RPQ Mackay Depot,A-313CFBA6_3036098256,Ergon,Electricity [kWh],,01 Nov 2025,30.0,56.0,-26.0,,10587.3115,,,,0.464,,,False
RPQ NSW South Grafton,A-480CA3BE_4001277522,Origin,Electricity [kWh],,01 Feb 2026,28.0,56.0,-28.0,,1757.1437,,,,0.5,,,False
Taupo (36-39 Matai St),91648_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,56.0,-28.0,,1994.0000,,,,0.5,,,False
Tauriko (763 SH29),91426_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,56.0,-28.0,,3604.0000,,,,0.5,,,False
Tirau Depot,55568_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,56.0,-28.0,,1570.0000,,,,0.5,,,False
Waitoki Depot,55524_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,56.0,-28.0,,2726.0000,,,,0.5,,,False
Whangarei Depot,55510_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,56.0,-26.0,,3837.2571,3837.2571,0.388,56.0,0.464,1780.5,0.18,False
Wiri (130 Kerrs Rd),91145_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,56.0,-28.0,,15327.0000,,,,0.5,,,False
PPP - NSW Schools 2 (Kariong),7113515329_5243917108,AGL,Natural Gas [GJ],,01 May 2026,31.0,55.0,-24.0,,27.7028,,,,0.436,,,False
PPP - Southbank TAFE (QLD),A-87825F48_5410086500,Origin,Natural Gas [GJ],,01 Jun 2026,30.0,54.0,-24.0,,76.1763,,,,0.444,,,False
Lawrence (6 Irvine St),DS2675_Electricity - Purchased from grid,Meridian,Electricity [kWh],,01 Oct 2025,31.0,48.0,-17.0,,1813.0625,,,,0.354,,,False
"95a Tirangi Road Wellington, Project Site",DS2675_Electricity - Purchased from grid,Meridian,Electricity [kWh],,01 Sep 2025,30.0,43.0,-13.0,,1269.8355,,,,0.302,,,False
Lawrence (6 Irvine St),DS2675_Electricity - Purchased from grid,Meridian,Electricity [kWh],,01 Mar 2026,31.0,40.0,-9.0,,1537.4211,1537.4211,0.1555,40.0,0.225,345.9,0.035,False
New Plymouth Depot,55572_Electricity - Purchased from grid,,Electricity [kWh],,01 Mar 2026,31.0,39.0,-8.0,,8724.7778,8724.7778,0.8822,39.0,0.205,1788.6,0.181,False
RPQ Mackay Depot,A-313CFBA6_3036098256,Ergon,Electricity [kWh],,01 Dec 2025,31.0,39.0,-8.0,,7479.5400,,,,0.205,,,False
New Plymouth Depot,55572_Electricity - Purchased from grid,,Electricity [kWh],,01 Jan 2026,31.0,37.0,-6.0,,17408.5914,,,,0.162,,,False
Cell Towers,91999_Electricity - Purchased from grid,,Electricity [kWh],,01 Mar 2026,31.0,36.0,-5.0,,478.5856,478.5856,0.0484,36.0,0.139,66.5,0.007,False
PPP - Southbank TAFE (QLD),A-0818208A_5410078053,Origin,Natural Gas [GJ],,01 Jan 2026,31.0,35.0,-4.0,,9.7080,,,,0.114,,,False
RPQ Mackay Depot,A-D2324744_3050097725,Ergon,Electricity [kWh],2026/01/05,01 Oct 2025,31.0,34.0,-3.0,,41725.6592,,,,0.088,,,False
Asphalt Prod - Mackay (400),A-294CE7F1_3052354415,Ergon,Electricity [kWh],,01 Oct 2025,31.0,32.0,-1.0,,13249.9246,,,,0.031,,,False
Asphalt Prod - Mackay (400),A-4176013D_3053135053,Ergon,Electricity [kWh],2026/01/01,01 Oct 2025,31.0,32.0,-1.0,,34342.8450,,,,0.031,,,False
Cardiff - Rail,700000536_ZZZZ001261,CleanPeakEnergy,Electricity [kWh],,01 May 2026,31.0,32.0,-1.0,,227003.3227,227003.3227,145.2821,32.0,0.031,7037.1,4.504,False
N01 Anzac Square - Terrica Place,141362_153568,,Electricity [kWh],,01 Oct 2025,31.0,32.0,-1.0,,14525.0806,,,,0.031,,,False
N01 Anzac Square - Terrica Place,141362_153568,,Electricity [kWh],,01 Jan 2026,31.0,32.0,-1.0,,14474.2315,,,,0.031,,,False
