"Organization","Location","Virtual Account Name","Virtual Account Link","Relationship Link","Effective From YYYY-MM-DD","Effective To YYYY-MM-DD","Rule Name","Rule Link","Rule Description","Rule Formula","Variable Name","Variable Link","Source Type","Source Name","Source Link","Source Apportionment","Delete Relationship"
"Downer","PPP - SICEEP","50002617960_4103927804_CERTS","6403546","155","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617960_4103927804","6182727","100.0000",""
"Downer","PPP - SICEEP","50002617968_4103927806_CERTS","6403547","156","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617968_4103927806","6182732","100.0000",""
"Downer","PPP - SICEEP","50002617980_4103927809_CERTS","6403549","158","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617980_4103927809","6182739","100.0000",""
"Downer","PPP - Southbank TAFE (QLD)","1003074_3116382269_CERTS","6403605","202","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","1003074_3116382269","6221496","100.0000",""
"Downer","PPP - Sunshine Coast University Hospital","1003075_3120143385_CERTS","6403606","203","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","1003075_3120143385","6221497","100.0000",""
"Downer","Quarry - WOK","Copy of Eco_ICP_0005302992ENB6A_CERTS","6397563","95",,,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","Eco_ICP_0005302992ENB6A","6223438","100.0000",""
"Downer","Richlands","900018192_3116600011_CERTS","6403567","176","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","900018192_3116600011","6402905","100.0000",""
"Downer","RPQ NSW Chinderah","50002846159_4407159054_CERTS","6403565","174","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002846159_4407159054","6225313","100.0000",""
"Downer","RPQ NSW Moree","50002617997_4001287259_CERTS","6403514","141","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617997_4001287259","6182659","100.0000",""
"Downer","RPQ Spray Seal","1003070_3120014382_CERTS","6403599","196","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","1003070_3120014382","6221495","100.0000",""
"Downer","RPQ Spray Seal","1003072_3051770385_CERTS","6403598","195","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","1003072_3051770385","6221425","100.0000",""
"Downer","RPQ Swanbank","1003071_3120070486_CERTS","6403600","197","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","1003071_3120070486","6221424","100.0000",""
"Downer","Somerton Emulsion Plant","900018216_VDDD001226_CERTS","6403577","187","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","900018216_VDDD001226","6402916","100.0000",""
"Downer","Tamworth","50002617983_4001158058_CERTS","6403511","138","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617983_4001158058","6182858","100.0000",""
"Downer","Tauranga Area Manager","Copy of Eco_ICP_1000522230PCA6E_CERTS","6397564","96",,,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","Eco_ICP_1000522230PCA6E","6223439","100.0000",""
"Downer","Teneriffe - Brisbane (QLD)","1003084_3117134943_CERTS","6403604","201","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","1003084_3117134943","6400664","100.0000",""
"Downer","Utilities Derrimut Office","900018212_6203753676_CERTS","6403570","180","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","900018212_6203753676","6402912","100.0000",""
"Downer","Wellington Depot","Copy of Eco_ICP_1001151226CK008_CERTS","6397565","97",,,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","Eco_ICP_1001151226CK008","6223440","100.0000",""
"Downer","Wiri (130 Kerrs Rd)","Copy of Eco_ICP_1001240514LC3EB_CERTS","6397566","98",,,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","Eco_ICP_1001240514LC3EB","6223441","100.0000",""
