Page,Section,SubSection,EmissionsFactorLabel,Unit,UUID,Type,Assumptions,GHG,EmissionFactor,Uncertainties
"Agriculture, forestry and other land uses",Fertiliser use,Fertiliser use,Limestone,kg,8df188a4-cbc7-4373-9f61-f4ad602dd03d,Limestone,,GHG_TOTAL_KGCO2_e,0.3608,CO2 -50% to 0%
"Agriculture, forestry and other land uses",Fertiliser use,Fertiliser use,Non-urea nitrogen fertiliser,kg N,7ab266b9-89fc-4929-9f79-16a021eb40e3,Non-urea nitrogen fertiliser,,GHG_CH4_KGCO2_e,0,54%
"Agriculture, forestry and other land uses",Fertiliser use,Fertiliser use,Non-urea nitrogen fertiliser,kg N,7ab266b9-89fc-4929-9f79-16a021eb40e3,Non-urea nitrogen fertiliser,,GHG_CO2_KGCO2_e,0,54%
"Agriculture, forestry and other land uses",Fertiliser use,Fertiliser use,Non-urea nitrogen fertiliser,kg N,7ab266b9-89fc-4929-9f79-16a021eb40e3,Non-urea nitrogen fertiliser,,GHG_N2O_KGCO2_e,3.12946,54%
"Agriculture, forestry and other land uses",Fertiliser use,Fertiliser use,Non-urea nitrogen fertiliser,kg N,7ab266b9-89fc-4929-9f79-16a021eb40e3,Non-urea nitrogen fertiliser,,GHG_TOTAL_KGCO2_e,3.12946,54%
"Agriculture, forestry and other land uses",Fertiliser use,Fertiliser use,Urea nitrogen fertiliser coated with urease inhibitor,kg N,90611d25-01d4-4036-b627-028ebd891782,Urea nitrogen fertiliser coated with urease inhibitor,,GHG_CH4_KGCO2_e,0,CO2 -50% to 0% / N2O 54%
"Agriculture, forestry and other land uses",Fertiliser use,Fertiliser use,Urea nitrogen fertiliser coated with urease inhibitor,kg N,90611d25-01d4-4036-b627-028ebd891782,Urea nitrogen fertiliser coated with urease inhibitor,,GHG_CO2_KGCO2_e,1.5942,CO2 -50% to 0% / N2O 54%
"Agriculture, forestry and other land uses",Fertiliser use,Fertiliser use,Urea nitrogen fertiliser coated with urease inhibitor,kg N,90611d25-01d4-4036-b627-028ebd891782,Urea nitrogen fertiliser coated with urease inhibitor,,GHG_N2O_KGCO2_e,2.98371,CO2 -50% to 0% / N2O 54%
"Agriculture, forestry and other land uses",Fertiliser use,Fertiliser use,Urea nitrogen fertiliser coated with urease inhibitor,kg N,90611d25-01d4-4036-b627-028ebd891782,Urea nitrogen fertiliser coated with urease inhibitor,,GHG_TOTAL_KGCO2_e,4.57791,CO2 -50% to 0% / N2O 54%
"Agriculture, forestry and other land uses",Fertiliser use,Fertiliser use,Urea nitrogen fertiliser not coated with urease inhibitor,kg N,4ea1fb59-6fdd-48dc-be81-a808c96f8f7c,Urea nitrogen fertiliser not coated with urease inhibitor,,GHG_CH4_KGCO2_e,0,CO2 -50% to 0% / N2O 54%
"Agriculture, forestry and other land uses",Fertiliser use,Fertiliser use,Urea nitrogen fertiliser not coated with urease inhibitor,kg N,4ea1fb59-6fdd-48dc-be81-a808c96f8f7c,Urea nitrogen fertiliser not coated with urease inhibitor,,GHG_CO2_KGCO2_e,1.5942,CO2 -50% to 0% / N2O 54%
"Agriculture, forestry and other land uses",Fertiliser use,Fertiliser use,Urea nitrogen fertiliser not coated with urease inhibitor,kg N,4ea1fb59-6fdd-48dc-be81-a808c96f8f7c,Urea nitrogen fertiliser not coated with urease inhibitor,,GHG_N2O_KGCO2_e,3.1711,CO2 -50% to 0% / N2O 54%
"Agriculture, forestry and other land uses",Fertiliser use,Fertiliser use,Urea nitrogen fertiliser not coated with urease inhibitor,kg N,4ea1fb59-6fdd-48dc-be81-a808c96f8f7c,Urea nitrogen fertiliser not coated with urease inhibitor,,GHG_TOTAL_KGCO2_e,4.76531,CO2 -50% to 0% / N2O 54%
"Agriculture, forestry and other land uses","Land Use, Land-Use Change, and Forestry",Forest Growth - Natural Forests,Post-1989 Regenerating natural forest,ha,8e2b811b-33f3-4168-a334-aa34b630dab5,Post-1989 Regenerating natural forest,,GHG_TOTAL_KGCO2_e,-7973.15,44.80%
"Agriculture, forestry and other land uses","Land Use, Land-Use Change, and Forestry",Forest Growth - Natural Forests,Pre-1990 Regenerating natural forest,ha,c5d2a909-1885-40a6-96c9-474b4a64bb24,Pre-1990 Regenerating natural forest,,GHG_TOTAL_KGCO2_e,-1566.38,119.50%
"Agriculture, forestry and other land uses","Land Use, Land-Use Change, and Forestry",Forest Growth - Natural Forests,Pre-1990 Tall natural forest,ha,2aa4e3bf-f85d-41bc-9fba-179c9ad57102,Pre-1990 Tall natural forest,,GHG_TOTAL_KGCO2_e,0,
"Agriculture, forestry and other land uses","Land Use, Land-Use Change, and Forestry",Forest Growth - Planted Forests - Approach One: Stock Change Accounting,All Planted forests,ha,d268908a-d948-4a81-b723-8879915f8001,All Planted forests,,GHG_TOTAL_KGCO2_e,-35140.4,13.30%
"Agriculture, forestry and other land uses","Land Use, Land-Use Change, and Forestry",Forest Growth - Planted Forests - Approach One: Stock Change Accounting,All hardwoods,ha,3f0b4394-ef27-46a6-9f79-6a3fa0bc7e4f,All hardwoods,,GHG_TOTAL_KGCO2_e,-26240.4,145.10%
"Agriculture, forestry and other land uses","Land Use, Land-Use Change, and Forestry",Forest Growth - Planted Forests - Approach One: Stock Change Accounting,Other softwoods,ha,3c37f14b-fa7e-4069-810a-04678b656712,Other softwoods,,GHG_TOTAL_KGCO2_e,-29956.4,23.10%
"Agriculture, forestry and other land uses","Land Use, Land-Use Change, and Forestry",Forest Growth - Planted Forests - Approach One: Stock Change Accounting,Pinus radiata,ha,345688d4-258c-42c0-b8e3-2d7b466ce1f9,Pinus radiata,,GHG_TOTAL_KGCO2_e,-36530,13.20%
"Agriculture, forestry and other land uses","Land Use, Land-Use Change, and Forestry",Forest Growth - Planted Forests - Approach Two: Averaging Accounting,All hardwoods - First rotation (Age 24 years and under),ha,3db4296f-1e16-4471-b451-17ec4a5c1fd5,All hardwoods - First rotation (Age 24 years and under),,GHG_TOTAL_KGCO2_e,-26240.4,145.10%
